Actual Spoken Hook,Spoken Hook Framework,Spoken Hook Structure,Visual Hook | Graphic Selection,Visual Hook | Visual Movemen,Visual Hook | Layout Structrure,Text Hook | Word Structure,Text Hook | Layout,Text Hook | Motion,Audio Hook | Structure,Audio Hook | Specifics,Video Link,Niche,Content Type,Performance (out of top 10 on channel),Views
"Is it possible to get a really good chest, tricep, and shoulder workout in just 3 minutes?",Is it possible to get a really good [X result] in just [Y time]?,Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/minolee.mp4/reel/DJaWdvdxVOw/,Content Marketing,Entertainment,6,"2,302,326"
"I don't know who needs to hear this, but the idea that you can change your life by simply working harder is bullshit.","I don't know who needs to hear this, but the idea that [X belief] is bullshit",Contrarian/Negative,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - None","Full screen A-roll (in world), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/minolee.mp4/reel/C-4LxcRsC71/,Content Marketing,Entertainment,7,"2,076,962"
"I'm sorry, I don't know who needs to hear this, but this mindset will not make you successful.","I'm sorry, I don't know who needs to hear this, but this [X mindset] will not make you successful",Contrarian/Negative,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/minolee.mp4/reel/C_J_NKjx978/,Content Marketing,Entertainment,8,"2,015,476"
"Is it possible for a broke college student to make $100,000 a month?",Is it possible for a [X person] to [Y achievement]?,Question,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in world), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/minolee.mp4/reel/DFkNykWxPoe/,Content Marketing,Entertainment,9,"1,592,340"
"Right now, it's 1.47am. We're gonna do work until 8am.","Right now, it's [X time]. We're gonna [Y action] until [Z time]",Experimentation,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/minolee.mp4/reel/C-nurb6xlv5/,Content Marketing,Entertainment,10,"1,527,953"
This is how to get paid to exist without actually having to go viral.,This is how to get paid to [X simple action] without actually having to [Y expected requirement],Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/katiexsocials/reel/DHRc_JeySF9/,Content Marketing,Education,1,"719,577"
"If you're not comfortable sharing your day-to-day life on social media, you don't have to.","If you're not comfortable [X action], you don't have to",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/katiexsocials/reel/C_YRT3XA5Ru/,Content Marketing,Education,2,"391,399"
"Growing an audience is hard, but growing an audience that cares about you is even harder.","[X task] is hard, but [Y deeper task] is even harder",Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/katiexsocials/reel/C-DhM32pkGC/,Content Marketing,Education,3,"272,821"
"If you were to introduce yourself to me right now, could you do it without mentioning your job title or the things that you do?","If you were to [X action] right now, could you do it without [Y typical approach]?",Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/katiexsocials/reel/C3gQJAhA-I8/,Content Marketing,Education,4,"254,717"
So it has come to my attention that you don't think your life is interesting enough for the camera.,So it has come to my attention that you don't think your [X] is [Y quality] enough for [Z purpose],Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/katiexsocials/reel/DBrRBdaxSd-/,Content Marketing,Education,6,"149,389"
"This creator has grown 600,000 followers in the past two months and here are the top three things that I've learned from watching her grow.",This creator has grown [X number] followers in the past [Y time] and here are the top [Z number] things that I've learned from watching them grow,Fortuneteller,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/katiexsocials/reel/DHZyOy8Ahft/,Content Marketing,Education,8,"126,598"
I have an irrational fear of the camera. It seems backwards because I'm a content creator.,I have an irrational fear of [X]. It seems backwards because I'm a [Y profession],Contrarian/Negative,"Creator A-Roll, Creator in B-Roll, Image Screenshots",A-Roll - None,"Full screen A-roll (in world), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/katiexsocials/reel/C3VxPBZgY4W/,Content Marketing,Education,9,"119,722"
Eye gua sha really helps dark circles because look how many acupoints or energy points are around your eye,[X treatment] really helps [Y problem] because look how many [Z detail],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/treatmentbylanshin/reel/C1dGHFquMgP/,Content Marketing,Education,1,"4,339,143"
I'm so glad this guy is okay. This man who had to go to the ER because of ice water.,I'm so glad this guy is okay. This [X person] who had to go to the ER because of [Y surprising cause],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/treatmentbylanshin/reel/C4_jKwvu11g/,Content Marketing,Education,3,"3,009,683"
Doctors do not respect Gua Sha.,[X authority] do not respect [Y practice],Educational/Tutorial,"Creator A-Roll, Example Videos","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/treatmentbylanshin/reel/C1LA3z4OVmE/,Content Marketing,Education,4,"2,550,972"
"Okay, this is so cool. This is an athlete and he's having his legs and his hips stretched to assess his range of motion.","Okay, this is so cool. This is [X person] and they're having [Y procedure]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/treatmentbylanshin/reel/Cy6wAUBOZNw/,Content Marketing,Education,5,"1,267,976"
This is an accupuncture pressure point that lifts energy.,This is an [X technique] that [Y benefit],Educational/Tutorial,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/treatmentbylanshin/reel/C_3yHJ2S8mV/,Content Marketing,Education,6,"1,253,251"
This acupoint on your scalp clears sinus congestion and headaches faster than an Advil.,This [X point] on your [Y body part] [Z action] faster than [common solution],Educational/Tutorial,Creator in B-Roll,B-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/treatmentbylanshin/reel/DHuGKjeOc-N/,Content Marketing,Education,7,"1,091,148"
"Okay, if you're coming down with a cold, don't go chugging down a raw ginger shot.","Okay, if you're [X condition], don't go [Y wrong solution]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/treatmentbylanshin/reel/DE8Z47eOizd/,Content Marketing,Education,9,"940,944"
"When I treat sinus congestion, I always include these three points that are very strong at clearing wind from your head.","When I treat [X condition], I always include these [Y number] points that are very strong at [Z effect]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/treatmentbylanshin/reel/DIw_8gyyAG0/,Content Marketing,Education,10,"908,662"
"So a lot of kids are insufficient or outright deficient in zinc, and zinc changes your taste preferences.","So a lot of [X group] are [Y deficient] in [Z nutrient], and [nutrient] changes your [unexpected effect]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None","Full screen B-roll, Split screen A-roll + B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/drjolenebrighten/reel/DFvy4RYhJ8A/,Content Marketing,Education,3,"967,025"
"When women are on the pill, they're attracted to, genetically, someone who's more like their cousin.","When [X group] are on [Y medication], they're [Z unexpected effect]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/drjolenebrighten/reel/DHCjLMlywDl/,Content Marketing,Education,4,"918,807"
"My husband's parking the car, so I am doing the long, lonely walk to the ultrasound appointment.","My [X person]'s [Y action], so I am doing the [Z emotional action]",Educational/Tutorial,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in world), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/drjolenebrighten/reel/DH8ww6au5-V/,Content Marketing,Education,6,"548,264"
Would you not sleep with a girl just because she's on her period?,Would you not [X action] with [Y person] just because [Z condition]?,Educational/Tutorial,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - Slow Zooms",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/drjolenebrighten/reel/DDxqFdWhmxu/,Content Marketing,Education,8,"378,663"
People who read before bed reduce their stress by 68%.,People who [X habit] reduce their [Y problem] by [Z percentage],Educational/Tutorial,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - Slow Zooms",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/drjolenebrighten/reel/DCDDQhYs3-G/,Content Marketing,Education,9,"346,897"
Why is green tea so bad?,Why is [X supposedly good thing] so bad?,Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/kunhealth/reel/DB_j78LuDcj/,Content Marketing,Education,1,"6,250,275"
"If you have excessive menstrual flow, aka you bleed too much every time of the month, you can try jujubes.","If you have [X condition], aka [Y plain explanation], you can try [Z remedy]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/kunhealth/reel/DBYz3guOq5n/,Content Marketing,Education,2,"4,666,049"
"Are you losing hair? So this is a really good food herb if you lose hair, okay?","Are you [X problem]? So this is a really good [Y remedy] if you [X problem], okay?",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/kunhealth/reel/DDck9EczaaF/,Content Marketing,Education,3,"1,926,554"
What has happened to Beyonce? Oh my God.,What has happened to [X celebrity]? Oh my God,Raw Shock,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/kunhealth/reel/CzEblq_MFzB/,Content Marketing,Education,4,"1,926,433"
"You guys voted for me to analyze Khloe Kardashian's tongue, so here we go.","You guys voted for me to analyze [X celebrity's] [Y body part], so here we go",Experimentation,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/kunhealth/reel/Cy55ODhuj9P/,Content Marketing,Education,5,"1,909,031"
Do you have iron deficiency or anemia?,Do you have [X condition] or [Y condition]?,Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/kunhealth/reel/DBOeswMumze/,Content Marketing,Education,6,"1,670,572"
"Cardi B's tongue. If we look at this tongue, she has red on the tip of the tongue and also around","[X celebrity's] [Y body part]. If we look at this [Y], [Z observation]",Experimentation,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/kunhealth/reel/DCe3L9ux_dN/,Content Marketing,Education,7,"1,594,954"
